1732389571.4341087, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 356
1732389571.5361216, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 354
1732389571.638112, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 164
1732389571.7031114, TCP, 16:eb:dd:10:32:d5, 14:13:33:73:1a:5b, 192.168.1.106, 192.168.1.103, 8009, 57538, 164
1732389571.7401092, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 290
1732389571.7411113, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 279
1732389571.7461085, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 54
1732389571.8433225, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 346
1732389571.8433225, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 344
1732389571.944605, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 356
1732389571.9456332, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 50269, 1900, 354
1732389572.3609984, TCP, 14:13:33:73:1a:5b, 12:02:71:fe:ea:29, 192.168.1.103, 40.101.93.226, 57443, 443, 55
1732389572.4522, TCP, 12:02:71:fe:ea:29, 14:13:33:73:1a:5b, 40.101.93.226, 192.168.1.103, 443, 57443, 66
1732389573.0712183, UDP, a8:80:55:ef:95:09, ff:ff:ff:ff:ff:ff, 192.168.1.115, 255.255.255.255, 53813, 6667, 214
1732389574.9150655, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 290
1732389574.9150655, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 279
1732389574.9150655, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 346
1732389575.0171442, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 344
1732389575.0171442, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 356
1732389575.1200728, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 354
1732389575.3240726, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 57168, 1900, 167
1732389575.4270635, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 290
1732389575.4270635, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 279
1732389575.4270635, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 57168, 1900, 167
1732389575.4280636, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 346
1732389575.5291395, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 344
1732389575.5291395, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 57168, 1900, 167
1732389575.530138, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 356
1732389575.631349, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 47262, 1900, 354
1732389576.4510822, UDP, 4c:a9:19:75:fb:25, ff:ff:ff:ff:ff:ff, 192.168.1.114, 255.255.255.255, 49566, 6667, 214
1732389576.7100856, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 164
